#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         738        0.92    0.878591  0.00772868
         739        0.96    0.878701  0.00771901
         740           1    0.878865  0.00771031
         741           1    0.879028  0.00770164
         742           1    0.879191  0.00769299
         743           1    0.879354  0.00768435
         744           1    0.879516  0.00767573
         745           1    0.879678  0.00766714
         746           1    0.879839  0.00765855
         747           1        0.88  0.00764999
         748           1     0.88016  0.00764145
         749           1     0.88032  0.00763292
         750           1     0.88048  0.00762441
         751           1    0.880639  0.00761592
         752           1    0.880798  0.00760744
         753           1    0.880956  0.00759899
         754           1    0.881114  0.00759055
         755           1    0.881272  0.00758213
         756           1    0.881429  0.00757373
         757           1    0.881585  0.00756534
         758           1    0.881741  0.00755697
         759           1    0.881897  0.00754862
         760           1    0.882053  0.00754029
         761           1    0.882208  0.00753197
         762           1    0.882362  0.00752367
         763           1    0.882516  0.00751539
         764           1     0.88267  0.00750713
         765           1    0.882824  0.00749888
         766           1    0.882977  0.00749065
         767           1    0.883129  0.00748244
         768           1    0.883281  0.00747425
         769           1    0.883433  0.00746607
         770           1    0.883584  0.00745791
         771           1    0.883735  0.00744976
         772           1    0.883886  0.00744163
         773           1    0.884036  0.00743352
         774           1    0.884186  0.00742543
         775           1    0.884335  0.00741735
         776           1    0.884485  0.00740929
         777           1    0.884633  0.00740124
         778           1    0.884781  0.00739322
         779           1    0.884929  0.00738521
         780           1    0.885077  0.00737721
         781           1    0.885224  0.00736923
         782           1    0.885371  0.00736127
         783           1    0.885517  0.00735332
         784           1    0.885663  0.00734539
         785           1    0.885809  0.00733748
         786           1    0.885954  0.00732958
         787           1    0.886099   0.0073217
         788           1    0.886244  0.00731384
         789           1    0.886388  0.00730599
         790           1    0.886532  0.00729816
         791           1    0.886675  0.00729034
         792           1    0.886818  0.00728254
         793           1    0.886961  0.00727475
         794           1    0.887103  0.00726698
         795           1    0.887245  0.00725923
         796           1    0.887387  0.00725149
         797           1    0.887528  0.00724377
         798           1    0.887669  0.00723607
         799           1     0.88781  0.00722837
         800           1     0.88795   0.0072207
         801           1     0.88809  0.00721304
         802           1    0.888229   0.0072054
         803           1    0.888369  0.00719777
         804           1    0.888507  0.00719015
         805           1    0.888646  0.00718255
         806           1    0.888784  0.00717497
         807           1    0.888922   0.0071674
         808           1    0.889059  0.00715985
         809           1    0.889197  0.00715232
         810           1    0.889333  0.00714479
         811           1     0.88947  0.00713729
         812           1    0.889606  0.00712979
         813           1    0.889742  0.00712232
         814           1    0.889877  0.00711486
         815           1    0.890012  0.00710741
         816           1    0.890147  0.00709998
         817           1    0.890282  0.00709256
         818           1    0.890416  0.00708516
         819           1    0.890549  0.00707777
         820           1    0.890683   0.0070704
         821           1    0.890816  0.00706304
         822           1    0.890949  0.00705569
         823           1    0.891081  0.00704837
         824           1    0.891214  0.00704105
         825           1    0.891345  0.00703375
         826           1    0.891477  0.00702647
         827           1    0.891608  0.00701919
         828           1    0.891739  0.00701194
         829           1     0.89187   0.0070047
         830           1       0.892  0.00699747
         831           1     0.89213  0.00699025
         832           1     0.89226  0.00698305
         833           1    0.892389  0.00697587
         834           1    0.892518   0.0069687
         835           1    0.892647  0.00696154
         836           1    0.892775   0.0069544
         837           1    0.892903  0.00694727
         838           1    0.893031  0.00694015
         839           1    0.893159  0.00693305
         840           1    0.893286  0.00692597
         841           1    0.893413  0.00691889
