#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         649        0.36   -0.086718   0.0100333
         650        0.32  -0.0860923   0.0100374
         651         0.4  -0.0853456   0.0100497
         652        0.16  -0.0849693   0.0100413
         653        0.04  -0.0847779   0.0100278
         654        0.24  -0.0842813   0.0100247
         655        0.24  -0.0837863   0.0100216
         656        0.36  -0.0831098   0.0100292
         657        0.12  -0.0828006   0.0100186
         658       -0.12  -0.0828571   0.0100036
         659       -0.12  -0.0829135  0.00998856
         660       -0.08  -0.0829091  0.00997343
         661           0  -0.0827837  0.00995913
         662       -0.16  -0.0829003  0.00994477
         663        0.04  -0.0827149   0.0099315
         664           0  -0.0825904  0.00991732
         665           0  -0.0824662  0.00990318
         666        0.12  -0.0821622  0.00989298
         667         0.2  -0.0817391  0.00988719
         668         0.2  -0.0813174  0.00988138
         669        0.16  -0.0809567  0.00987319
         670        0.12  -0.0806567  0.00986301
         671        0.28  -0.0801192  0.00986294
         672        0.36  -0.0794643  0.00986999
         673        0.44  -0.0786924  0.00988546
         674         0.4  -0.0779822  0.00989627
         675        0.24  -0.0775111  0.00989282
         676         0.2  -0.0771006   0.0098867
         677         0.2  -0.0766913  0.00988056
         678        0.16  -0.0763422  0.00987215
         679        0.08  -0.0761119   0.0098603
         680        0.16  -0.0757647  0.00985191
         681        0.04  -0.0755947  0.00983891
         682        0.04  -0.0754252  0.00982594
         683       -0.04  -0.0753734  0.00981169
         684       -0.16  -0.0754971  0.00979813
         685       -0.08  -0.0755036  0.00978383
         686        -0.2  -0.0756851  0.00977125
         687       -0.32  -0.0760408  0.00976349
         688       -0.16  -0.0761628  0.00975007
         689       -0.12  -0.0762264  0.00973612
         690        0.12   -0.075942  0.00972616
         691        0.04  -0.0757742  0.00971354
         692        0.08  -0.0755491  0.00970211
         693        0.24  -0.0750938  0.00969879
         694        0.44  -0.0743516  0.00971317
         695        0.44  -0.0736115  0.00972735
         696         0.6  -0.0726437   0.0097614
         697        0.48  -0.0718508  0.00977954
         698        0.24   -0.071404  0.00977573
         699        0.04  -0.0712446  0.00976305
         700       -0.08  -0.0712571  0.00974911
