# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0           0
           65.81044e+162 0.000685595    0.132217
           65.87723e+162 0.000665984    0.129856
           65.94401e+162 0.000649864    0.128125
           6 6.0108e+162 0.000636391    0.126839
           66.07759e+162 0.000625484    0.126036
           66.14437e+162 0.000607567    0.123716
           66.21116e+162 0.000589865     0.12138
           66.27795e+162 0.000576686    0.119924
           66.34473e+162 0.000572099    0.120213
           66.41152e+162 0.000562076     0.11932
           66.47831e+162 0.000563587    0.120843
           66.54509e+162 0.000559766    0.121221
           66.61188e+162  0.00056698    0.124052
           7           0           0           0
           76.67867e+160           0           0
           71.33573e+161           0           0
           7 2.0036e+161           0           0
           72.67147e+161           0           0
           73.33933e+161           0           0
           7 4.0072e+161           0           0
           74.67507e+161           0           0
           75.34293e+161           0           0
           7 6.0108e+161           0           0
           76.67867e+161           0           0
           77.34653e+161           0           0
           7 8.0144e+161           0           0
           78.68227e+161           0           0
           79.35013e+161           0           0
           7 1.0018e+162           0           0
           71.06859e+162           0           0
           71.13537e+162           0           0
           71.20216e+162           0           0
           71.26895e+162           0           0
           71.33573e+162           0           0
           71.40252e+162           0           0
           71.46931e+162           0           0
           71.53609e+162           0           0
           71.60288e+162           0           0
           71.66967e+162           0           0
           71.73645e+162           0           0
           71.80324e+162           0           0
           71.87003e+162           0           0
           71.93681e+162           0           0
           7 2.0036e+162           0           0
           72.07039e+162           0           0
           72.13717e+162           0           0
           72.20396e+162           0           0
           72.27075e+162 6.16033e-07 6.51289e-05
           72.33753e+162 1.49406e-05  0.00115832
           72.40432e+162 0.000105029  0.00808894
           72.47111e+162 0.000346165   0.0272858
           72.53789e+162 0.000720328   0.0582159
           72.60468e+162  0.00110923   0.0918553
           72.67147e+162  0.00138795     0.11769
           72.73825e+162  0.00151809    0.131744
           72.80504e+162  0.00154177    0.136858
           72.87183e+162  0.00145142    0.131796
           72.93861e+162  0.00132025    0.122523
           7 3.0054e+162  0.00118197    0.112013
           73.07219e+162    0.001071    0.103663
           73.13897e+162 0.000934318    0.092278
           73.20576e+162 0.000839232   0.0845494
           73.27255e+162 0.000752653   0.0773684
           73.33933e+162 0.000677906   0.0710854
           73.40612e+162 0.000617026    0.065904
           73.47291e+162 0.000574375   0.0625159
           73.53969e+162 0.000530979   0.0588135
           73.60648e+162 0.000484599    0.054652
           73.67327e+162 0.000466587   0.0535612
           73.74005e+162 0.000453045   0.0529656
           73.80684e+162 0.000448832   0.0533234
           73.87363e+162 0.000429277   0.0518401
           73.94041e+162 0.000412938    0.050705
           7 4.0072e+162 0.000409949     0.05113
           74.07399e+162 0.000425379   0.0539296
           74.14077e+162 0.000425509   0.0547849
           74.20756e+162 0.000434791   0.0568717
           74.27435e+162 0.000434679   0.0576786
           74.34113e+162 0.000446099   0.0600823
           74.40792e+162 0.000467022   0.0638317
           74.47471e+162 0.000473269   0.0656245
           74.54149e+162 0.000507738   0.0714105
           74.60828e+162 0.000529081   0.0754824
           74.67507e+162 0.000547118   0.0791403
           74.74185e+162 0.000579546   0.0849924
           74.80864e+162 0.000614044   0.0912568
           74.87543e+162 0.000644926   0.0971875
           74.94221e+162 0.000666743    0.101813
           7  5.009e+162 0.000689866      0.1067
           75.07579e+162 0.000706337    0.110618
           75.14257e+162 0.000725381    0.115054
           75.20936e+162 0.000738695    0.118631
           75.27615e+162 0.000756258    0.123042
           75.34293e+162 0.000756231    0.124498
           75.40972e+162 0.000767535    0.127879
           75.47651e+162 0.000762941    0.128643
           75.54329e+162 0.000752071    0.128267
           75.61008e+162 0.000746154    0.128774
           75.67687e+162 0.000724762     0.12652
           75.74365e+162 0.000703659    0.124268
           75.81044e+162 0.000685295    0.122353
           75.87723e+162 0.000663735     0.11982
           75.94401e+162 0.000648757    0.118417
           7 6.0108e+162 0.000638549     0.11783
           76.07759e+162 0.000623665    0.116345
           76.14437e+162 0.000607643    0.114551
           76.21116e+162 0.000592342    0.112852
           76.27795e+162 0.000578748    0.111425
           76.34473e+162 0.000571581     0.11119
           76.41152e+162 0.000561628    0.110376
           76.47831e+162 0.000562384    0.111637
           76.54509e+162 0.000558747    0.112023
           76.61188e+162 0.000564581    0.114362
           8           0           0           0
           86.67867e+160           0           0
           81.33573e+161           0           0
           8 2.0036e+161           0           0
           82.67147e+161           0           0
           83.33933e+161           0           0
           8 4.0072e+161           0           0
           84.67507e+161           0           0
           85.34293e+161           0           0
           8 6.0108e+161           0           0
           86.67867e+161           0           0
           87.34653e+161           0           0
           8 8.0144e+161           0           0
           88.68227e+161           0           0
           89.35013e+161           0           0
           8 1.0018e+162           0           0
           81.06859e+162           0           0
           81.13537e+162           0           0
           81.20216e+162           0           0
           81.26895e+162           0           0
           81.33573e+162           0           0
           81.40252e+162           0           0
           81.46931e+162           0           0
           81.53609e+162           0           0
           81.60288e+162           0           0
           81.66967e+162           0           0
           81.73645e+162           0           0
           81.80324e+162           0           0
           81.87003e+162           0           0
           81.93681e+162           0           0
           8 2.0036e+162           0           0
           82.07039e+162           0           0
           82.13717e+162           0           0
           82.20396e+162           0           0
           82.27075e+162 6.67049e-07 6.20942e-05
           82.33753e+162 1.52051e-05  0.00109785
           82.40432e+162 0.000103443  0.00745624
           82.47111e+162 0.000347747   0.0256405
           82.53789e+162 0.000721102   0.0545115
           82.60468e+162  0.00111371   0.0862707
           82.67147e+162   0.0013881    0.110097
           82.73825e+162  0.00151931    0.123331
           82.80504e+162   0.0015437    0.128179
           82.87183e+162  0.00144705    0.122909
           82.93861e+162  0.00131359    0.114034
           8 3.0054e+162  0.00117785    0.104415
           83.07219e+162  0.00106482    0.096414
           83.13897e+162 0.000935277   0.0864035
           83.20576e+162 0.000839339    0.079097
           83.27255e+162  0.00075553   0.0726451
           83.33933e+162 0.000678932   0.0665838
           83.40612e+162 0.000618167    0.061755
           83.47291e+162 0.000574037   0.0584348
           83.53969e+162 0.000532989   0.0552217
           83.60648e+162   0.0004901   0.0517199
           83.67327e+162 0.000471534    0.050646
           83.74005e+162 0.000452504   0.0494741
           83.80684e+162 0.000448454   0.0498311
           83.87363e+162 0.000427741   0.0483165
           83.94041e+162 0.000413239   0.0474589
           8 4.0072e+162 0.000410543   0.0478945
           84.07399e+162 0.000427264   0.0506671
           84.14077e+162  0.00042841   0.0515987
           84.20756e+162 0.000435353   0.0532596
           84.27435e+162 0.000432085   0.0536358
           84.34113e+162 0.000443838   0.0559198
           84.40792e+162 0.000465554    0.059521
           84.47471e+162 0.000472926   0.0613397
           84.54149e+162 0.000505072   0.0664528
           84.60828e+162 0.000527195   0.0703556
           84.67507e+162 0.000547101    0.074024
           84.74185e+162  0.00057886   0.0794061
           84.80864e+162 0.000615703   0.0855943
           84.87543e+162 0.000645797    0.091026
           84.94221e+162 0.000667946   0.0954011
           8  5.009e+162 0.000689725   0.0997812
           85.07579e+162 0.000708072    0.103727
           85.14257e+162  0.00072374    0.107378
           85.20936e+162  0.00073654    0.110646
           85.27615e+162 0.000753288    0.114638
           85.34293e+162 0.000752996     0.11596
           85.40972e+162 0.000764318     0.11912
