#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         669        2.56     1.24532    0.064906
         670           0     1.24346   0.0648357
         671        0.36     1.24215   0.0647525
         672        0.04     1.24036   0.0646808
         673        0.04     1.23857   0.0646093
         674        0.64     1.23769   0.0645196
         675        3.24     1.24065   0.0644921
         676        1.44     1.24095   0.0643974
         677        6.76      1.2491   0.0648162
         678        2.56     1.25103   0.0647495
         679        0.64     1.25013   0.0646603
         680        0.64     1.24924   0.0645715
         681           1     1.24887   0.0644777
         682        0.04      1.2471   0.0644075
         683        0.04     1.24533   0.0643375
         684        0.64     1.24444   0.0642495
         685        0.16     1.24286   0.0641752
         686        1.44     1.24315   0.0640823
         687           1     1.24279     0.06399
         688        0.04     1.24105   0.0639209
         689        0.36     1.23977   0.0638409
         690        0.64      1.2389   0.0637543
         691        0.36     1.23763   0.0636747
         692        0.36     1.23636   0.0635953
         693           0     1.23457   0.0635286
         694           0      1.2328   0.0634619
         695        0.64     1.23194   0.0633763
         696        0.64     1.23109    0.063291
         697           1     1.23076    0.063201
         698           1     1.23043   0.0631114
         699           1      1.2301   0.0630219
         700        0.04      1.2284   0.0629548
         701        0.64     1.22756   0.0628706
         702        0.36     1.22632   0.0627932
         703        0.16     1.22481   0.0627222
         704        0.64     1.22398   0.0626386
         705        1.44     1.22428   0.0625505
         706        2.56     1.22618   0.0624905
         707        1.44     1.22648   0.0624029
         708           1     1.22616   0.0623155
         709        0.16     1.22465   0.0622458
         710        0.04     1.22299   0.0621805
         711        0.16     1.22149    0.062111
         712        0.16        1.22   0.0620417
         713        0.04     1.21835   0.0619767
         714        0.16     1.21686   0.0619076
         715           0     1.21516   0.0618444
         716           1     1.21486   0.0617588
         717           0     1.21317   0.0616959
         718        1.44     1.21348   0.0616108
         719        4.84     1.21853   0.0617312
         720           9     1.22933   0.0625844
         721        0.04     1.22768   0.0625193
         722        2.56     1.22953     0.06246
         723        0.64     1.22871   0.0623789
         724        3.24     1.23149   0.0623546
         725        1.44     1.23178   0.0622692
         726        0.36     1.23058    0.062195
         727        0.64     1.22977   0.0621148
         728        1.44     1.23005   0.0620301
         729        0.64     1.22925   0.0619503
         730        2.56     1.23107   0.0618923
         731        0.04     1.22944    0.061829
         732        0.16     1.22798   0.0617618
         733        0.04     1.22636   0.0616988
         734        0.16      1.2249   0.0616319
         735        0.36     1.22373   0.0615593
         736           1     1.22342   0.0614764
         737        0.64     1.22263    0.061398
         738        1.96     1.22363    0.061323
         739        0.64     1.22284   0.0612451
         740           1     1.22254   0.0611631
         741        1.96     1.22354   0.0610886
         742           1     1.22323    0.061007
         743        1.44     1.22353   0.0609256
         744        6.76     1.23097   0.0612965
         745        6.76     1.23839   0.0616619
         746           1     1.23807     0.06158
         747           4     1.24177   0.0616085
         748        1.44     1.24203   0.0615267
         749        0.64     1.24123   0.0614498
         750        0.04     1.23963   0.0613888
         751        0.04     1.23803   0.0613278
         752        1.44      1.2383   0.0612468
         753        7.84     1.24707   0.0617898
         754        0.16     1.24562   0.0617247
         755        0.04     1.24403   0.0616636
         756        0.04     1.24243   0.0616026
         757        0.64     1.24164   0.0615263
         758        0.04     1.24005   0.0614656
         759        1.44     1.24032   0.0613852
         760           1        1.24   0.0613052
         761        3.24     1.24263   0.0612809
         762        2.56     1.24436   0.0612249
         763        3.24     1.24697   0.0612005
         764        2.56     1.24869   0.0611445
         765        2.56     1.25041   0.0610886
         766           1     1.25008   0.0610097
         767           1     1.24975   0.0609311
         768        0.04     1.24818   0.0608721
         769        0.64     1.24739   0.0607981
         770        0.64      1.2466   0.0607242
         771        0.04     1.24503   0.0606656
         772        0.04     1.24347   0.0606071
         773           0     1.24186   0.0605501
         774           0     1.24026   0.0604931
         775        0.16     1.23886   0.0604311
         776        1.44     1.23912   0.0603538
         777        2.56     1.24082      0.0603
         778        7.84     1.24931   0.0608162
         779        1.44     1.24955   0.0607386
         780           4     1.25308    0.060763
         781        1.44     1.25332   0.0606857
         782        0.36     1.25217   0.0606188
         783        0.16     1.25078   0.0605575
         784        1.96     1.25168    0.060487
         785           1     1.25136   0.0604108
         786        0.04     1.24982   0.0603536
         787        0.16     1.24844   0.0602928
         788        0.36     1.24731   0.0602268
         789           1       1.247   0.0601513
         790        0.04     1.24547   0.0600945
         791        2.56     1.24713   0.0600415
         792        0.64     1.24636   0.0599706
         793        0.16     1.24499   0.0599106
         794        0.36     1.24388   0.0598455
         795        0.16     1.24252   0.0597858
         796           0     1.24095   0.0597311
         797        0.36     1.23985   0.0596663
         798           0      1.2383   0.0596118
         799           1       1.238   0.0595379
         800           0     1.23645   0.0594836
         801        0.16     1.23511   0.0594245
         802        0.16     1.23377   0.0593656
         803        1.44     1.23402   0.0592922
         804           1     1.23373   0.0592192
         805        0.04     1.23225   0.0591642
         806           0     1.23072   0.0591105
         807        0.16     1.22939   0.0590521
         808        0.36     1.22832   0.0589889
