#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         291    -6.85005     -6.8711 0.000733445
         292    -6.84961    -6.87102 0.000734616
         293    -6.84961    -6.87095 0.000735735
         294    -6.84934    -6.87088 0.000736896
         295    -6.84908     -6.8708 0.000738094
         296    -6.84933    -6.87073 0.000739158
         297    -6.84917    -6.87066 0.000740224
         298    -6.84914    -6.87059 0.000741253
         299    -6.84884    -6.87051 0.000742331
         300    -6.84893    -6.87044 0.000743334
         301    -6.84872    -6.87037  0.00074436
         302    -6.84904     -6.8703 0.000745238
         303     -6.8492    -6.87023 0.000746023
         304    -6.84941    -6.87016 0.000746705
         305    -6.84957    -6.87009 0.000747303
         306    -6.84935    -6.87002  0.00074793
         307     -6.8491    -6.86996 0.000748593
         308     -6.8497    -6.86989 0.000749044
         309     -6.8493    -6.86982 0.000749578
         310    -6.84917    -6.86976 0.000750115
         311    -6.84931    -6.86969 0.000750579
         312    -6.84984    -6.86963 0.000750866
         313    -6.84941    -6.86956 0.000751241
         314    -6.84964     -6.8695 0.000751525
         315    -6.84941    -6.86944  0.00075184
         316    -6.84935    -6.86937 0.000752143
         317    -6.84898    -6.86931 0.000752515
         318    -6.84898    -6.86924  0.00075286
         319    -6.84861    -6.86918 0.000753272
         320    -6.84805    -6.86911 0.000753806
         321    -6.84832    -6.86905 0.000754237
         322     -6.8485    -6.86899  0.00075459
         323    -6.84822    -6.86892 0.000754986
         324    -6.84758    -6.86885 0.000755524
         325    -6.84765    -6.86879  0.00075601
         326    -6.84786    -6.86873 0.000756412
         327    -6.84776    -6.86866  0.00075681
         328    -6.84732     -6.8686 0.000757295
         329     -6.8475    -6.86853 0.000757704
         330    -6.84717    -6.86847 0.000758169
         331    -6.84657     -6.8684  0.00075876
         332    -6.84673    -6.86834 0.000759277
         333    -6.84664    -6.86827 0.000759786
         334    -6.84688    -6.86821 0.000760206
         335    -6.84655    -6.86814 0.000760681
         336    -6.84658    -6.86808 0.000761119
         337    -6.84576    -6.86801 0.000761735
         338    -6.84538    -6.86794 0.000762419
         339    -6.84517    -6.86788 0.000763124
         340    -6.84483    -6.86781 0.000763885
         341    -6.84446    -6.86774 0.000764708
         342     -6.8449    -6.86767 0.000765382
         343    -6.84352     -6.8676 0.000766384
         344    -6.84263    -6.86753 0.000767587
         345    -6.84235    -6.86746 0.000768826
         346    -6.84178    -6.86738 0.000770179
         347    -6.84109    -6.86731 0.000771678
         348    -6.84136    -6.86723 0.000773055
         349    -6.84118    -6.86716 0.000774438
         350    -6.84149    -6.86709 0.000775689
         351    -6.84105    -6.86701 0.000777019
         352    -6.84086    -6.86694 0.000778355
         353    -6.84089    -6.86686 0.000779639
         354    -6.84102    -6.86679 0.000780847
         355    -6.84065    -6.86672 0.000782112
         356    -6.84111    -6.86665 0.000783214
         357    -6.84107    -6.86657  0.00078429
         358    -6.84145     -6.8665 0.000785231
         359    -6.84078    -6.86643 0.000786305
         360    -6.84073    -6.86636 0.000787356
         361    -6.84081    -6.86629 0.000788349
         362    -6.84089    -6.86622 0.000789288
         363    -6.84048    -6.86615 0.000790292
         364    -6.84067    -6.86608 0.000791215
         365    -6.84007    -6.86601 0.000792248
         366    -6.84068    -6.86594 0.000793101
         367     -6.8403    -6.86587 0.000794011
         368    -6.83984     -6.8658 0.000794997
         369    -6.83987    -6.86573 0.000795941
         370    -6.83972    -6.86566 0.000796888
         371    -6.83984    -6.86559 0.000797774
         372    -6.83961    -6.86552 0.000798679
         373    -6.83958    -6.86545 0.000799559
         374    -6.83955    -6.86538 0.000800415
         375    -6.83937    -6.86531 0.000801281
         376     -6.8388    -6.86524 0.000802244
         377    -6.83804    -6.86517 0.000803354
         378    -6.83833     -6.8651 0.000804361
         379    -6.83813    -6.86502 0.000805379
         380    -6.83824    -6.86495 0.000806337
         381    -6.83788    -6.86488 0.000807346
         382    -6.83697    -6.86481 0.000808532
         383    -6.83702    -6.86474  0.00080967
         384    -6.83592    -6.86466 0.000811033
         385    -6.83579    -6.86459 0.000812385
         386     -6.8356    -6.86451 0.000813744
         387    -6.83638    -6.86444 0.000814881
         388     -6.8359    -6.86437 0.000816095
         389    -6.83601    -6.86429 0.000817245
         390    -6.83595    -6.86422 0.000818375
         391    -6.83544    -6.86415 0.000819584
         392     -6.8348    -6.86407 0.000820906
         393    -6.83458      -6.864  0.00082224
         394    -6.83467    -6.86392 0.000823516
         395    -6.83443    -6.86385 0.000824808
         396    -6.83393    -6.86377 0.000826178
         397    -6.83415     -6.8637  0.00082746
         398    -6.83392    -6.86362 0.000828757
         399    -6.83344    -6.86355 0.000830127
         400    -6.83351    -6.86347  0.00083144
         401    -6.83311     -6.8634 0.000832807
         402    -6.83357    -6.86332 0.000834035
         403     -6.8331    -6.86325  0.00083533
         404    -6.83259    -6.86317 0.000836702
         405    -6.83263     -6.8631 0.000838029
         406    -6.83282    -6.86302 0.000839277
         407    -6.83254    -6.86295  0.00084055
         408    -6.83212    -6.86287 0.000841877
         409    -6.83215     -6.8628 0.000843163
         410    -6.83161    -6.86272  0.00084453
         411    -6.83238    -6.86265 0.000845696
         412    -6.83194    -6.86257 0.000846921
         413    -6.83225     -6.8625 0.000848047
         414    -6.83226    -6.86242 0.000849139
         415    -6.83211    -6.86235  0.00085023
         416     -6.8323    -6.86228 0.000851249
         417    -6.83268    -6.86221 0.000852161
         418    -6.83237    -6.86214 0.000853107
         419    -6.83262    -6.86207 0.000853973
         420    -6.83266      -6.862 0.000854805
         421    -6.83318    -6.86193 0.000855511
         422    -6.83267    -6.86186  0.00085629
         423    -6.83269    -6.86179 0.000857038
         424     -6.8328    -6.86172  0.00085774
         425     -6.8325    -6.86165 0.000858473
         426     -6.8319    -6.86158 0.000859294
         427    -6.83104    -6.86151 0.000860254
         428    -6.83058    -6.86144 0.000861274
         429    -6.82998    -6.86137 0.000862382
         430    -6.82921    -6.86129 0.000863613
         431    -6.82876    -6.86122 0.000864902
         432     -6.8289    -6.86114 0.000866129
         433    -6.82943    -6.86107 0.000867219
         434    -6.82921    -6.86099 0.000868322
         435    -6.82856    -6.86092 0.000869522
         436    -6.82809    -6.86084 0.000870782
         437    -6.82703    -6.86077 0.000872221
         438    -6.82727    -6.86069 0.000873575
         439    -6.82706    -6.86061 0.000874938
         440    -6.82634    -6.86054  0.00087641
         441    -6.82597    -6.86046 0.000877922
         442    -6.82602    -6.86038 0.000879386
         443     -6.8253     -6.8603 0.000880959
         444    -6.82513    -6.86022  0.00088253
         445    -6.82548    -6.86014 0.000883994
         446    -6.82602    -6.86007 0.000885317
         447    -6.82583    -6.85999 0.000886643
         448    -6.82624    -6.85991 0.000887858
         449    -6.82614    -6.85984 0.000889062
         450     -6.8259    -6.85976 0.000890279
         451    -6.82549    -6.85969 0.000891543
         452    -6.82541    -6.85961  0.00089279
         453    -6.82516    -6.85954 0.000894053
         454    -6.82495    -6.85946 0.000895324
         455    -6.82503    -6.85938 0.000896548
         456    -6.82444    -6.85931  0.00089785
         457    -6.82482    -6.85923 0.000899051
         458     -6.8249    -6.85916 0.000900208
         459    -6.82458    -6.85908 0.000901393
         460     -6.8239    -6.85901 0.000902674
         461    -6.82369    -6.85893 0.000903961
         462     -6.8233    -6.85885 0.000905287
         463    -6.82322    -6.85877 0.000906597
         464    -6.82227     -6.8587 0.000908051
         465    -6.82232    -6.85862 0.000909463
         466     -6.8225    -6.85854 0.000910808
         467    -6.82239    -6.85846 0.000912141
         468    -6.82246    -6.85839  0.00091343
         469    -6.82288    -6.85831 0.000914615
         470    -6.82323    -6.85824  0.00091571
         471    -6.82301    -6.85816 0.000916816
         472    -6.82195    -6.85808 0.000918077
         473     -6.8219    -6.85801 0.000919317
         474    -6.82196    -6.85793 0.000920517
         475    -6.82192    -6.85786 0.000921696
         476     -6.8222    -6.85778 0.000922798
         477    -6.82309    -6.85771 0.000923725
         478    -6.82339    -6.85764 0.000924578
         479    -6.82331    -6.85756 0.000925421
         480    -6.82329    -6.85749 0.000926245
         481    -6.82278    -6.85742 0.000927127
         482    -6.82308    -6.85735 0.000927937
         483    -6.82291    -6.85728 0.000928752
         484    -6.82253    -6.85721 0.000929605
         485    -6.82192    -6.85713 0.000930531
         486    -6.82143    -6.85706 0.000931512
         487    -6.82175    -6.85699 0.000932417
         488    -6.82179    -6.85692 0.000933291
         489    -6.82181    -6.85684 0.000934139
         490    -6.82206    -6.85677 0.000934927
         491    -6.82183     -6.8567 0.000935727
         492     -6.8218    -6.85663 0.000936511
         493    -6.82158    -6.85656 0.000937306
         494    -6.82161    -6.85649 0.000938076
         495    -6.82148    -6.85642 0.000938844
         496    -6.82093    -6.85635 0.000939673
         497     -6.8208    -6.85628   0.0009405
         498    -6.82058     -6.8562 0.000941339
         499    -6.82112    -6.85613 0.000942074
         500    -6.82111    -6.85606  0.00094279
         501    -6.82063    -6.85599 0.000943557
         502    -6.82085    -6.85592 0.000944271
         503    -6.82065    -6.85585 0.000944994
         504    -6.81981    -6.85578 0.000945821
         505    -6.81981    -6.85571 0.000946626
         506    -6.81963    -6.85564 0.000947436
         507    -6.81888    -6.85557 0.000948337
         508    -6.81887    -6.85549 0.000949216
         509    -6.81864    -6.85542 0.000950109
         510    -6.81784    -6.85535 0.000951099
         511     -6.8171    -6.85527 0.000952178
         512    -6.81683     -6.8552 0.000953274
         513    -6.81644    -6.85512 0.000954405
         514    -6.81614    -6.85505 0.000955557
         515    -6.81608    -6.85497 0.000956693
         516    -6.81585    -6.85489 0.000957839
         517    -6.81533    -6.85482 0.000959039
         518    -6.81512    -6.85474 0.000960244
         519    -6.81402    -6.85466 0.000961594
         520    -6.81354    -6.85458 0.000962991
         521    -6.81352    -6.85451 0.000964362
         522    -6.81346    -6.85443 0.000965715
         523    -6.81299    -6.85435 0.000967114
         524    -6.81287    -6.85427 0.000968502
         525    -6.81229    -6.85419 0.000969952
         526    -6.81316    -6.85411 0.000971239
         527    -6.81293    -6.85403 0.000972534
         528    -6.81203    -6.85395  0.00097394
         529    -6.81149    -6.85387 0.000975401
         530    -6.81185    -6.85379 0.000976778
         531    -6.81056    -6.85371 0.000978326
         532    -6.81095    -6.85363 0.000979783
         533    -6.81071    -6.85355 0.000981249
         534    -6.81184    -6.85347 0.000982516
         535     -6.8117    -6.85339 0.000983777
         536     -6.8119    -6.85332 0.000984983
         537    -6.81193    -6.85324  0.00098616
         538    -6.81191    -6.85316 0.000987314
         539    -6.81129    -6.85309 0.000988534
         540    -6.81078    -6.85301 0.000989803
         541    -6.81067    -6.85293 0.000991063
         542    -6.80965    -6.85285 0.000992446
         543    -6.80931    -6.85277 0.000993852
         544    -6.80931    -6.85269  0.00099523
         545    -6.80819    -6.85261 0.000996747
         546    -6.80823    -6.85253 0.000998231
         547    -6.80788    -6.85244 0.000999738
         548    -6.80757    -6.85236  0.00100126
         549    -6.80761    -6.85228  0.00100275
         550    -6.80688     -6.8522  0.00100432
         551    -6.80694    -6.85212  0.00100585
         552    -6.80645    -6.85203  0.00100742
         553    -6.80688    -6.85195   0.0010089
         554     -6.8073    -6.85187   0.0010103
         555    -6.80707    -6.85179   0.0010117
         556    -6.80609    -6.85171  0.00101321
         557    -6.80575    -6.85163  0.00101475
         558    -6.80618    -6.85154  0.00101619
         559    -6.80623    -6.85146   0.0010176
         560    -6.80572    -6.85138  0.00101905
         561    -6.80671     -6.8513  0.00102035
         562    -6.80623    -6.85122  0.00102168
         563    -6.80655    -6.85114  0.00102294
         564    -6.80648    -6.85106  0.00102419
         565    -6.80689    -6.85099  0.00102535
         566    -6.80614    -6.85091   0.0010266
         567    -6.80536    -6.85083  0.00102792
         568    -6.80551    -6.85075  0.00102921
         569    -6.80512    -6.85067  0.00103052
         570    -6.80484    -6.85059  0.00103184
         571    -6.80459     -6.8505  0.00103317
         572    -6.80432    -6.85042  0.00103452
         573    -6.80441    -6.85034  0.00103582
         574    -6.80362    -6.85026  0.00103721
         575    -6.80325    -6.85018  0.00103863
         576    -6.80408     -6.8501   0.0010399
         577    -6.80396    -6.85002  0.00104117
         578    -6.80436    -6.84994  0.00104236
         579    -6.80401    -6.84986  0.00104357
         580    -6.80338    -6.84978  0.00104485
         581    -6.80309     -6.8497  0.00104614
         582     -6.8025    -6.84962  0.00104748
         583    -6.80229    -6.84954  0.00104882
         584    -6.80259    -6.84946   0.0010501
         585    -6.80166    -6.84938  0.00105148
         586    -6.80108    -6.84929  0.00105291
         587    -6.80092    -6.84921  0.00105434
         588    -6.80146    -6.84913  0.00105567
         589    -6.80182    -6.84905  0.00105693
         590    -6.80194    -6.84897  0.00105815
         591    -6.80204    -6.84889  0.00105933
         592    -6.80172    -6.84881  0.00106054
         593    -6.80246    -6.84873  0.00106162
         594    -6.80218    -6.84866  0.00106273
         595    -6.80211    -6.84858  0.00106381
         596    -6.80099     -6.8485  0.00106502
         597    -6.80057    -6.84842  0.00106626
         598     -6.7998    -6.84834  0.00106757
         599    -6.79979    -6.84825  0.00106886
         600    -6.79917    -6.84817  0.00107021
         601    -6.79931    -6.84809  0.00107151
         602    -6.79914    -6.84801  0.00107281
         603    -6.79971    -6.84793  0.00107402
         604    -6.80034    -6.84785  0.00107513
         605    -6.80011    -6.84777  0.00107624
         606    -6.80004    -6.84769  0.00107734
         607    -6.80006    -6.84762  0.00107842
         608    -6.80004    -6.84754  0.00107948
         609    -6.80073    -6.84746  0.00108044
         610    -6.80101    -6.84738  0.00108135
         611    -6.80158    -6.84731  0.00108218
         612    -6.80178    -6.84723  0.00108296
         613     -6.8018    -6.84716  0.00108373
         614    -6.80075    -6.84709   0.0010846
         615    -6.80035    -6.84701  0.00108549
         616    -6.79992    -6.84693  0.00108642
         617    -6.79937    -6.84686  0.00108739
         618    -6.79891    -6.84678  0.00108839
         619    -6.79826     -6.8467  0.00108946
         620    -6.79846    -6.84662  0.00109047
         621    -6.79698    -6.84654  0.00109164
         622    -6.79716    -6.84646  0.00109277
         623    -6.79709    -6.84638  0.00109389
         624    -6.79638     -6.8463  0.00109507
         625    -6.79707    -6.84622  0.00109614
         626    -6.79646    -6.84614  0.00109727
         627    -6.79612    -6.84607  0.00109842
         628    -6.79604    -6.84599  0.00109955
         629    -6.79566    -6.84591  0.00110071
         630    -6.79571    -6.84583  0.00110184
         631    -6.79563    -6.84575  0.00110297
         632    -6.79639    -6.84567  0.00110398
         633     -6.7966    -6.84559  0.00110496
         634    -6.79598    -6.84551  0.00110598
         635    -6.79551    -6.84543  0.00110704
         636     -6.7951    -6.84535  0.00110812
         637    -6.79526    -6.84528  0.00110917
         638    -6.79556     -6.8452  0.00111017
         639    -6.79521    -6.84512  0.00111118
         640    -6.79522    -6.84504  0.00111218
         641    -6.79538    -6.84496  0.00111314
         642    -6.79457    -6.84489  0.00111417
         643     -6.7946    -6.84481  0.00111518
         644    -6.79448    -6.84473  0.00111618
         645    -6.79489    -6.84465  0.00111712
         646    -6.79513    -6.84458  0.00111802
         647    -6.79454     -6.8445  0.00111896
         648    -6.79491    -6.84442  0.00111985
         649    -6.79443    -6.84434  0.00112077
         650    -6.79465    -6.84427  0.00112165
         651    -6.79492    -6.84419  0.00112249
         652    -6.79465    -6.84412  0.00112333
         653    -6.79459    -6.84404  0.00112417
         654    -6.79437    -6.84396  0.00112501
         655    -6.79386    -6.84389  0.00112589
         656    -6.79357    -6.84381  0.00112679
         657    -6.79355    -6.84373  0.00112767
         658     -6.7933    -6.84366  0.00112856
         659    -6.79266    -6.84358  0.00112949
         660    -6.79306     -6.8435  0.00113037
