#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         398     1.38455    0.580764    0.104846
         399     1.38279    0.582774    0.104603
         400      1.3817    0.584772     0.10436
         401     1.38223     0.58676    0.104119
         402     1.38343    0.588742    0.103879
         403     1.38577     0.59072     0.10364
         404     1.38924    0.592696    0.103402
         405     1.39213     0.59467    0.103166
         406     1.39726    0.596647    0.102931
         407     1.40315    0.598629    0.102697
         408     1.41021    0.600618    0.102464
         409     1.41738    0.602615    0.102233
         410     1.42457     0.60462    0.102004
         411     1.43288    0.606635    0.101775
         412     1.44098     0.60866    0.101548
         413     1.44898    0.610695    0.101323
         414     1.45579    0.612736    0.101099
         415     1.46345    0.614786    0.100876
         416     1.47112    0.616844    0.100654
         417     1.47916    0.618912    0.100434
         418     1.48626    0.620987    0.100215
         419     1.49257    0.623067   0.0999978
         420     1.49826    0.625151   0.0997814
         421     1.50377    0.627238   0.0995663
         422     1.50786    0.629325   0.0993522
         423     1.51222    0.631412   0.0991392
         424     1.51519    0.633497   0.0989273
         425     1.51777    0.635577   0.0987164
         426     1.52027    0.637654   0.0985065
         427     1.52084    0.639722   0.0982976
         428      1.5215    0.641783   0.0980895
         429     1.52235    0.643835   0.0978823
         430     1.52278    0.645879    0.097676
         431     1.52314    0.647915   0.0974706
         432     1.52377    0.649942   0.0972661
         433     1.52428    0.651961   0.0970624
         434       1.525    0.653973   0.0968596
         435     1.52578    0.655977   0.0966576
         436     1.52787    0.657977   0.0964566
         437     1.52891     0.65997   0.0962565
         438      1.5316     0.66196   0.0960573
         439     1.53426    0.663947    0.095859
         440     1.53906    0.665936   0.0956618
         441     1.54262    0.667924   0.0954655
         442      1.5471    0.669913   0.0952703
         443     1.55174    0.671903    0.095076
         444     1.55674    0.673896   0.0948828
         445      1.5623    0.675893   0.0946905
         446     1.56861    0.677894   0.0944994
         447      1.5749    0.679901   0.0943093
         448     1.58038    0.681911   0.0941202
         449     1.58717    0.683927   0.0939322
         450     1.59378    0.685949   0.0937452
         451     1.60014    0.687976   0.0935592
         452     1.60719     0.69001   0.0933743
         453      1.6132    0.692048   0.0931905
         454     1.61957    0.694091   0.0930076
         455     1.62507    0.696137   0.0928257
         456     1.63112    0.698187   0.0926447
         457     1.63674    0.700241   0.0924648
         458     1.64216    0.702298   0.0922858
         459     1.64639    0.704354   0.0921076
         460     1.65136    0.706413   0.0919304
         461     1.65633    0.708474   0.0917541
         462     1.66058    0.710535   0.0915786
         463     1.66433    0.712595    0.091404
         464     1.66902    0.714656   0.0912302
         465     1.67295    0.716717   0.0910573
         466     1.67611    0.718775   0.0908852
         467     1.67849    0.720831   0.0907138
         468     1.68076    0.722882   0.0905431
         469     1.68269    0.724928   0.0903732
         470     1.68472     0.72697    0.090204
         471     1.68635    0.729007   0.0900355
         472     1.68756    0.731038   0.0898676
         473     1.68832    0.733062   0.0897004
         474     1.68863    0.735078   0.0895338
         475     1.68849    0.737085   0.0893678
         476     1.68838    0.739084   0.0892024
         477     1.68734    0.741072   0.0890376
         478     1.68565    0.743048   0.0888732
         479     1.68407    0.745012   0.0887094
         480     1.68119    0.746963    0.088546
         481     1.67829    0.748899   0.0883831
         482     1.67566    0.750821   0.0882206
         483     1.67267     0.75273   0.0880586
         484      1.6694    0.754624   0.0878971
         485     1.66665    0.756505   0.0877359
         486     1.66428    0.758372   0.0875753
         487     1.66188    0.760228   0.0874151
         488     1.65931     0.76207   0.0872554
         489      1.6576    0.763901   0.0870962
         490      1.6554    0.765721   0.0869374
         491     1.65349    0.767529   0.0867792
         492     1.65387     0.76933   0.0866215
         493     1.65371    0.771124   0.0864644
         494     1.65498    0.772913   0.0863078
         495      1.6558    0.774697   0.0861519
         496     1.65788    0.776478   0.0859966
         497     1.66174    0.778259    0.085842
         498     1.66572    0.780041   0.0856882
         499     1.67006    0.781824    0.085535
         500     1.67574    0.783612   0.0853826
         501     1.68276    0.785407    0.085231
         502     1.69015    0.787209   0.0850803
         503     1.69862    0.789021   0.0849305
         504     1.70789    0.790844   0.0847815
         505     1.71772     0.79268   0.0846335
         506     1.72782    0.794528   0.0844864
         507     1.73911    0.796391   0.0843403
         508     1.75177    0.798272   0.0841953
         509     1.76359    0.800168   0.0840512
         510      1.7774    0.802084   0.0839082
         511     1.79118     0.80402   0.0837663
         512     1.80535    0.805976   0.0836256
