Block   Block_avgCumulative_avg       Error
349   -0.492937   -0.442887  0.00471434
350   -0.387143   -0.442728  0.00470357
351   -0.443298    -0.44273  0.00469019
352   -0.376687   -0.442543  0.00468063
353   -0.477497   -0.442641  0.00466843
354   -0.459025   -0.442688  0.00465549
355   -0.576227   -0.443063  0.00465753
356   -0.456066   -0.443099   0.0046446
357   -0.434936   -0.443076  0.00463167
358   -0.433351   -0.443049  0.00461883
359   -0.416371   -0.442975  0.00460658
360   -0.476473   -0.443068  0.00459473
361   -0.433087    -0.44304  0.00458211
362   -0.427478   -0.442997  0.00456967
363   -0.497234   -0.443146  0.00455953
364   -0.374157   -0.442957  0.00455095
365   -0.521602   -0.443172  0.00454358
366   -0.534201    -0.44342  0.00453797
367   -0.393133   -0.443284  0.00452768
368   -0.372629   -0.443092  0.00451945
369   -0.403424   -0.442985   0.0045085
370   -0.579676   -0.443353   0.0045114
371   -0.378497   -0.443179  0.00450263
372   -0.475174   -0.443265  0.00449136
373   -0.496149   -0.443406  0.00448157
374   -0.362973   -0.443192  0.00447475
375   -0.414962   -0.443117  0.00446346
376   -0.441308   -0.443112  0.00445161
377   -0.581234   -0.443477  0.00445483
378   -0.446877   -0.443486  0.00444307
379   -0.294176   -0.443093  0.00444874
380   -0.294124   -0.442702  0.00445425
381   -0.482289   -0.442806  0.00444378
382   -0.436857    -0.44279  0.00443219
383   -0.458162   -0.442831  0.00442081
384   -0.436006   -0.442813  0.00440935
385   -0.449764   -0.442831  0.00439795
386   -0.448601   -0.442846   0.0043866
387   -0.552515   -0.443128   0.0043844
388   -0.020152   -0.442041  0.00450626
389   -0.397675   -0.441927  0.00449613
390   -0.459239   -0.441972  0.00448484
391   -0.387452   -0.441832  0.00447554
392   -0.449436   -0.441852  0.00446418
393   -0.443391   -0.441856  0.00445284
394   -0.541789   -0.442109  0.00444875
395   -0.564152   -0.442417  0.00444819
396   -0.513027   -0.442595  0.00444054
397   -0.433845   -0.442573  0.00442942
398    -0.48558   -0.442681  0.00441962
399   -0.412108   -0.442604  0.00440922
400   -0.468527   -0.442669  0.00439869
401    -0.50827   -0.442832  0.00439076
402   -0.287087   -0.442445  0.00439687
403   -0.537496   -0.442681  0.00439228
404  -0.0794933   -0.441784  0.00447225
405    -0.45904   -0.441827  0.00446143
406   -0.531666   -0.442047  0.00445592
407   -0.403117   -0.441952  0.00444601
408   -0.415827   -0.441888  0.00443559
409   -0.464806   -0.441944  0.00442511
410   -0.470609   -0.442014  0.00441488
411   -0.494058    -0.44214  0.00440596
412   -0.422843   -0.442093  0.00439553
413   -0.458159   -0.442132  0.00438507
414   -0.502773   -0.442278  0.00437693
415   -0.439775   -0.442272   0.0043664
416   -0.425152   -0.442231  0.00435611
417   -0.478464   -0.442318  0.00434654
418   -0.448475   -0.442332  0.00433618
419   -0.473451   -0.442407  0.00432648
420   -0.400721   -0.442307  0.00431733
421   -0.455946    -0.44234   0.0043072
422   -0.383838   -0.442202  0.00429923
423    -0.37858   -0.442051  0.00429171
424   -0.505924   -0.442202  0.00428423
425   -0.406287   -0.442117    0.004275
426   -0.466868   -0.442175  0.00426537
427   -0.484123   -0.442273  0.00425652
428   -0.470613   -0.442339   0.0042471
429   -0.487546   -0.442445  0.00423851
430   -0.483412    -0.44254  0.00422974
431   -0.465526   -0.442593  0.00422027
432   -0.371672   -0.442429   0.0042137
433   -0.551637   -0.442681   0.0042115
434   -0.415148   -0.442617  0.00420228
435   -0.445831   -0.442625  0.00419264
436    -0.48547   -0.442723  0.00418418
437   -0.511279   -0.442879  0.00417755
438   -0.439538   -0.442872  0.00416803
439    -0.53006    -0.44307  0.00416327
440   -0.435983   -0.443054  0.00415385
441   -0.441215    -0.44305  0.00414444
442   -0.438095   -0.443038  0.00413509
443    -0.47186   -0.443103  0.00412628
444    -0.45473    -0.44313  0.00411708
445   -0.421932   -0.443082  0.00410811
446   -0.487228   -0.443181   0.0041001
447   -0.412088   -0.443111  0.00409153
448   -0.416566   -0.443052  0.00408283
449   -0.516401   -0.443215  0.00407701
450   -0.451264   -0.443233    0.004068
451   -0.464923   -0.443281  0.00405927
452   -0.504522   -0.443416  0.00405256
453   -0.459825   -0.443452  0.00404378
454   -0.405189   -0.443368  0.00403576
455   -0.451724   -0.443387  0.00402694
456   -0.530014   -0.443576  0.00402259
457   -0.472014   -0.443638  0.00401428
458   -0.342653   -0.443418  0.00401156
459   -0.483323   -0.443505  0.00400377
460   -0.366072   -0.443337   0.0039986
461   -0.520127   -0.443503   0.0039934
462   -0.418435   -0.443449  0.00398513
463   0.0354178   -0.442417  0.00410828
464    -0.41717   -0.442363  0.00409979
465   -0.451213   -0.442382  0.00409103
466   -0.416715   -0.442327  0.00408263
467   -0.373831    -0.44218  0.00407653
468   -0.491073   -0.442285  0.00406916
469   -0.415779   -0.442228  0.00406088
470   -0.459265   -0.442264  0.00405241
471      -0.425   -0.442228  0.00404399
472   -0.489603   -0.442328  0.00403667
473   -0.360448   -0.442155  0.00403185
474   -0.483338   -0.442242  0.00402428
475    -0.42289   -0.442201  0.00401603
476   -0.407858   -0.442129  0.00400824
477   -0.443964   -0.442133  0.00399985
478   -0.445002   -0.442139   0.0039915
479   -0.559853   -0.442384  0.00399072
480   -0.459514    -0.44242  0.00398257
481   -0.397883   -0.442328  0.00397537
482   -0.453462   -0.442351   0.0039672
483   -0.554921   -0.442583  0.00396582
484   -0.405187   -0.442506  0.00395839
485   -0.451729   -0.442525  0.00395028
486   -0.538925   -0.442723  0.00394713
487   -0.524618   -0.442891   0.0039426
488   -0.572674   -0.443156  0.00394347
489   -0.455966   -0.443182   0.0039355
490   -0.434181   -0.443164  0.00392752
491   -0.447987   -0.443174  0.00391954
492   -0.479915   -0.443248   0.0039123
493   -0.461825   -0.443286  0.00390455
494   -0.496508   -0.443394  0.00389814
495    -0.55554    -0.44362  0.00389683
496   -0.465115   -0.443663  0.00388923
497   -0.339412   -0.443454  0.00388705
498   -0.489018   -0.443545  0.00388033
499   -0.408171   -0.443474   0.0038732
500   -0.407854   -0.443403  0.00386612
501   -0.449032   -0.443414  0.00385843
502   -0.537919   -0.443602  0.00385533
503   -0.583026   -0.443879   0.0038576
504   -0.469485   -0.443929  0.00385029
505   -0.444926   -0.443931  0.00384267
506   -0.321167   -0.443689  0.00384272
507   -0.401213   -0.443606  0.00383606
508   -0.462952   -0.443644  0.00382871
509    -0.39635   -0.443551  0.00382232
510   -0.474617   -0.443612  0.00381532
511   -0.432875   -0.443591  0.00380791
512   -0.427306   -0.443559  0.00380062
513   -0.502381   -0.443673  0.00379494
514   -0.501306   -0.443785  0.00378922
515   -0.187251   -0.443288  0.00381441
516   -0.482928   -0.443365  0.00380779
517   -0.420795   -0.443321  0.00380068
518   -0.419064   -0.443275  0.00379364
519   -0.458876   -0.443305  0.00378646
520   -0.382371   -0.443188  0.00378099
521   -0.451044   -0.443203  0.00377377
522   -0.424431   -0.443167  0.00376672
523   -0.429251    -0.44314  0.00375962
524   -0.480723   -0.443212  0.00375313
525   -0.518136   -0.443354   0.0037487
526   -0.473003   -0.443411    0.003742
527    -0.49032   -0.443499  0.00373597
528    -0.48542   -0.443579  0.00372974
529   -0.468449   -0.443626  0.00372299
530   -0.541052   -0.443809   0.0037205
531   -0.336136   -0.443607  0.00371901
532   -0.452061   -0.443623  0.00371206
533   -0.402024   -0.443545  0.00370592
534   -0.426475   -0.443513  0.00369913
535    -0.35282   -0.443343  0.00369609
536   -0.413891   -0.443289  0.00368961
537   -0.355796   -0.443126  0.00368634
538   -0.494281   -0.443221  0.00368071
539   -0.446936   -0.443228   0.0036739
540   -0.499292   -0.443331  0.00366856
541   -0.437308    -0.44332  0.00366181
542   -0.399332   -0.443239  0.00365595
543   -0.292261   -0.442962  0.00365977
544   -0.468489   -0.443009  0.00365334
545   -0.485233   -0.443086  0.00364747
546   -0.418247   -0.443041  0.00364108
547   -0.433468   -0.443023  0.00363447
548   -0.412869   -0.442968  0.00362826
549   -0.523675   -0.443115  0.00362463
550   -0.386717   -0.443013  0.00361949
551   -0.437559   -0.443003  0.00361294
552    -0.47647   -0.443063  0.00360691
553   -0.300591   -0.442806  0.00360956
554   -0.448436   -0.442816  0.00360307
555   -0.474568   -0.442873  0.00359704
556   -0.485844    -0.44295   0.0035914
557   -0.404422   -0.442881  0.00358562
558    -0.40413   -0.442812  0.00357988
559   -0.440967   -0.442809  0.00357348
560    -0.43769     -0.4428  0.00356712
561   -0.406119   -0.442734  0.00356136
