#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         376        0.64    0.702979   0.0124199
         377        0.68    0.702918   0.0123871
         378        0.72    0.702963   0.0123544
         379        0.72    0.703008   0.0123219
         380        0.72    0.703053   0.0122896
         381         0.6    0.702782   0.0122603
         382        0.56    0.702408   0.0122339
         383        0.64    0.702245    0.012203
         384        0.72    0.702292   0.0121713
         385        0.72    0.702338   0.0121398
         386        0.64    0.702176   0.0121094
         387        0.64    0.702016   0.0120792
         388        0.68    0.701959   0.0120482
         389        0.64    0.701799   0.0120183
         390         0.8    0.702051   0.0119901
         391        0.72    0.702097   0.0119595
         392        0.72    0.702143   0.0119291
         393         0.6    0.701883   0.0119016
         394        0.84    0.702234   0.0118766
         395        0.92    0.702785   0.0118593
         396           1    0.703535   0.0118531
         397           1    0.704282   0.0118467
         398           1    0.705025   0.0118402
         399           1    0.705764   0.0118336
         400           1      0.7065   0.0118268
         401           1    0.707232     0.01182
         402           1     0.70796    0.011813
         403           1    0.708685   0.0118059
         404           1    0.709406   0.0117987
         405           1    0.710123   0.0117913
         406           1    0.710837   0.0117839
         407        0.96     0.71145   0.0117708
         408           1    0.712157   0.0117632
         409           1    0.712861   0.0117555
         410           1    0.713561   0.0117476
         411           1    0.714258   0.0117397
         412           1    0.714951   0.0117317
         413           1    0.715642   0.0117236
         414           1    0.716329   0.0117154
         415           1    0.717012    0.011707
         416           1    0.717692   0.0116987
         417           1    0.718369   0.0116902
         418           1    0.719043   0.0116816
         419           1    0.719714    0.011673
         420           1    0.720381   0.0116642
         421           1    0.721045   0.0116554
         422           1    0.721706   0.0116465
         423           1    0.722364   0.0116376
         424           1    0.723019   0.0116285
         425           1    0.723671   0.0116194
         426           1    0.724319   0.0116102
         427           1    0.724965    0.011601
         428           1    0.725607   0.0115916
         429           1    0.726247   0.0115823
         430           1    0.726884   0.0115728
         431           1    0.727517   0.0115633
         432           1    0.728148   0.0115537
         433           1    0.728776   0.0115441
         434           1    0.729401   0.0115344
         435           1    0.730023   0.0115246
         436           1    0.730642   0.0115148
         437           1    0.731259    0.011505
         438           1    0.731872    0.011495
         439           1    0.732483   0.0114851
         440           1    0.733091    0.011475
         441           1    0.733696    0.011465
         442        0.96    0.734208   0.0114505
         443        0.92    0.734628   0.0114323
         444           1    0.735225   0.0114222
         445           1     0.73582    0.011412
         446           1    0.736413   0.0114017
         447           1    0.737002   0.0113915
         448           1    0.737589   0.0113812
         449           1    0.738174   0.0113708
         450           1    0.738756   0.0113604
         451           1    0.739335     0.01135
         452           1    0.739912   0.0113395
         453           1    0.740486    0.011329
         454           1    0.741057   0.0113185
         455           1    0.741626   0.0113079
         456        0.96    0.742105   0.0112932
         457           1     0.74267   0.0112826
         458           1    0.743231    0.011272
         459           1    0.743791   0.0112613
         460           1    0.744348   0.0112506
         461           1    0.744902   0.0112398
         462           1    0.745455    0.011229
         463           1    0.746004   0.0112182
         464           1    0.746552   0.0112074
         465           1    0.747097   0.0111966
         466           1    0.747639   0.0111857
         467           1     0.74818   0.0111748
         468           1    0.748718   0.0111638
         469           1    0.749254   0.0111529
         470           1    0.749787   0.0111419
         471           1    0.750318   0.0111309
         472           1    0.750847   0.0111199
         473           1    0.751374   0.0111088
         474           1    0.751899   0.0110978
         475           1    0.752421   0.0110867
         476           1    0.752941   0.0110756
         477           1    0.753459   0.0110645
         478           1    0.753975   0.0110534
         479           1    0.754489   0.0110422
         480           1       0.755    0.011031
         481           1    0.755509   0.0110199
         482           1    0.756017   0.0110087
         483           1    0.756522   0.0109975
         484           1    0.757025   0.0109862
         485           1    0.757526    0.010975
         486           1    0.758025   0.0109638
         487           1    0.758522   0.0109525
         488           1    0.759016   0.0109412
         489           1    0.759509   0.0109299
         490           1        0.76   0.0109187
         491           1    0.760489   0.0109074
         492           1    0.760976    0.010896
         493           1     0.76146   0.0108847
         494           1    0.761943   0.0108734
         495           1    0.762424   0.0108621
         496           1    0.762903   0.0108507
         497           1     0.76338   0.0108394
         498           1    0.763855    0.010828
         499           1    0.764329   0.0108166
         500           1      0.7648   0.0108053
         501           1    0.765269   0.0107939
         502           1    0.765737   0.0107825
         503        0.96    0.766123    0.010768
         504           1    0.766587   0.0107566
         505           1     0.76705   0.0107453
         506           1     0.76751   0.0107339
         507           1    0.767968   0.0107225
         508           1    0.768425   0.0107111
         509           1     0.76888   0.0106997
         510           1    0.769333   0.0106883
         511           1    0.769785   0.0106769
         512           1    0.770234   0.0106656
         513           1    0.770682   0.0106542
         514           1    0.771128   0.0106428
         515           1    0.771573   0.0106314
         516           1    0.772016     0.01062
         517           1    0.772456   0.0106086
         518           1    0.772896   0.0105972
         519           1    0.773333   0.0105858
         520           1    0.773769   0.0105744
         521           1    0.774203   0.0105631
         522           1    0.774636   0.0105517
         523           1    0.775067   0.0105403
         524           1    0.775496   0.0105289
         525        0.84    0.775619   0.0105096
         526        0.88    0.775817   0.0104915
         527        0.84    0.775939   0.0104723
         528        0.88    0.776136   0.0104543
         529        0.92    0.776408   0.0104381
         530        0.76    0.776377   0.0104184
         531        0.84    0.776497   0.0103995
         532        0.92    0.776767   0.0103834
         533        0.96    0.777111   0.0103696
         534           1    0.777528   0.0103586
         535           1    0.777944   0.0103476
         536           1    0.778358   0.0103366
         537           1    0.778771   0.0103256
         538           1    0.779182   0.0103146
         539        0.92    0.779443   0.0102987
         540         0.8    0.779481   0.0102797
         541         0.8    0.779519   0.0102608
         542        0.76    0.779483   0.0102419
         543        0.64    0.779227   0.0102263
         544         0.8    0.779265   0.0102076
         545        0.64    0.779009    0.010192
         546        0.76    0.778974   0.0101734
         547        0.88    0.779159   0.0101565
         548           1    0.779562    0.010146
         549           1    0.779964   0.0101354
         550           1    0.780364   0.0101249
         551           1    0.780762   0.0101144
         552           1    0.781159   0.0101038
         553           1    0.781555   0.0100933
         554           1    0.781949   0.0100828
         555           1    0.782342   0.0100723
         556           1    0.782734   0.0100618
         557           1    0.783124   0.0100513
         558           1    0.783513   0.0100408
         559           1      0.7839   0.0100303
         560           1    0.784286   0.0100198
         561           1     0.78467   0.0100093
         562           1    0.785053   0.0099988
         563           1    0.785435  0.00998833
         564           1    0.785816  0.00997786
         565           1    0.786195   0.0099674
         566           1    0.786572  0.00995695
         567           1    0.786949   0.0099465
         568           1    0.787324  0.00993606
         569           1    0.787698  0.00992562
         570           1     0.78807   0.0099152
         571           1    0.788441  0.00990478
         572           1    0.788811  0.00989436
         573           1     0.78918  0.00988396
         574           1    0.789547  0.00987356
         575           1    0.789913  0.00986317
         576           1    0.790278  0.00985279
         577           1    0.790641  0.00984241
         578           1    0.791003  0.00983205
         579           1    0.791364  0.00982169
         580           1    0.791724  0.00981134
         581           1    0.792083    0.009801
         582           1     0.79244  0.00979067
         583           1    0.792796  0.00978035
         584           1    0.793151  0.00977003
         585           1    0.793504  0.00975973
         586           1    0.793857  0.00974943
         587           1    0.794208  0.00973915
         588           1    0.794558  0.00972887
         589           1    0.794907   0.0097186
         590           1    0.795254  0.00970835
         591           1    0.795601   0.0096981
         592           1    0.795946  0.00968786
         593           1     0.79629  0.00967763
         594           1    0.796633  0.00966741
         595           1    0.796975  0.00965721
         596           1    0.797315  0.00964701
         597           1    0.797655  0.00963682
         598           1    0.797993  0.00962665
         599           1    0.798331  0.00961648
         600           1    0.798667  0.00960633
         601           1    0.799002  0.00959618
         602           1    0.799336  0.00958605
         603           1    0.799668  0.00957592
         604           1         0.8  0.00956581
         605           1    0.800331  0.00955571
         606           1     0.80066  0.00954562
         607           1    0.800988  0.00953554
         608           1    0.801316  0.00952548
         609           1    0.801642  0.00951542
         610           1    0.801967  0.00950538
         611           1    0.802291  0.00949534
         612           1    0.802614  0.00948532
         613           1    0.802936  0.00947531
         614           1    0.803257  0.00946531
         615           1    0.803577  0.00945533
         616           1    0.803896  0.00944535
         617           1    0.804214  0.00943539
         618           1    0.804531  0.00942544
         619           1    0.804847   0.0094155
         620           1    0.805161  0.00940557
         621           1    0.805475  0.00939566
         622           1    0.805788  0.00938576
         623           1      0.8061  0.00937587
         624           1     0.80641  0.00936599
         625           1     0.80672  0.00935613
         626           1    0.807029  0.00934627
         627           1    0.807337  0.00933643
         628           1    0.807643   0.0093266
         629           1    0.807949  0.00931679
         630           1    0.808254  0.00930699
         631           1    0.808558   0.0092972
         632           1    0.808861  0.00928742
         633           1    0.809163  0.00927765
         634           1    0.809464   0.0092679
         635           1    0.809764  0.00925816
         636           1    0.810063  0.00924844
         637           1    0.810361  0.00923872
         638           1    0.810658  0.00922902
         639           1    0.810955  0.00921934
         640           1     0.81125  0.00920966
         641           1    0.811544      0.0092
         642           1    0.811838  0.00919035
         643           1    0.812131  0.00918072
         644           1    0.812422  0.00917109
         645           1    0.812713  0.00916149
         646           1    0.813003  0.00915189
         647           1    0.813292  0.00914231
         648           1     0.81358  0.00913274
         649           1    0.813867  0.00912318
         650           1    0.814154  0.00911364
         651           1    0.814439  0.00910411
         652           1    0.814724  0.00909459
         653           1    0.815008  0.00908509
         654           1    0.815291   0.0090756
         655           1    0.815573  0.00906613
         656        0.92    0.815732   0.0090537
         657        0.92     0.81589  0.00904131
         658           1     0.81617   0.0090319
         659           1    0.816449   0.0090225
         660           1    0.816727  0.00901312
         661           1    0.817005  0.00900375
         662           1    0.817281  0.00899439
         663           1    0.817557  0.00898504
         664           1    0.817831  0.00897571
         665           1    0.818105  0.00896639
         666           1    0.818378  0.00895709
         667           1    0.818651   0.0089478
         668           1    0.818922  0.00893852
         669           1    0.819193  0.00892926
         670           1    0.819463  0.00892001
         671           1    0.819732  0.00891077
         672           1        0.82  0.00890155
         673           1    0.820267  0.00889234
         674           1    0.820534  0.00888314
         675           1      0.8208  0.00887396
         676           1    0.821065  0.00886479
         677           1    0.821329  0.00885564
         678           1    0.821593  0.00884649
         679           1    0.821856  0.00883737
         680        0.96    0.822059  0.00882671
         681           1     0.82232  0.00881761
         682           1    0.822581  0.00880853
         683           1     0.82284  0.00879946
         684           1    0.823099  0.00879041
         685           1    0.823358  0.00878137
         686           1    0.823615  0.00877234
         687           1    0.823872  0.00876333
         688           1    0.824128  0.00875433
         689           1    0.824383  0.00874534
         690           1    0.824638  0.00873637
         691           1    0.824891  0.00872742
         692           1    0.825145  0.00871847
         693           1    0.825397  0.00870954
         694           1    0.825648  0.00870062
         695           1    0.825899  0.00869172
         696           1    0.826149  0.00868283
         697           1    0.826399  0.00867396
         698           1    0.826648  0.00866509
         699           1    0.826896  0.00865625
         700           1    0.827143  0.00864741
         701           1    0.827389  0.00863859
         702           1    0.827635  0.00862978
         703           1    0.827881  0.00862099
         704           1    0.828125  0.00861221
         705           1    0.828369  0.00860344
         706           1    0.828612  0.00859469
         707        0.96    0.828798  0.00858454
         708        0.96    0.828983  0.00857442
         709           1    0.829224  0.00856572
         710           1    0.829465  0.00855703
         711           1    0.829705  0.00854836
         712           1    0.829944   0.0085397
         713           1    0.830182  0.00853105
         714           1     0.83042  0.00852241
         715           1    0.830657  0.00851379
         716           1    0.830894  0.00850519
         717           1     0.83113   0.0084966
         718           1    0.831365  0.00848802
         719           1    0.831599  0.00847945
